# Time-averaged data for fix temp_GR
# TimeStep v_mytemp c_GR_1 c_GR_2 c_GR_3 c_GR_4 c_GR_5 c_GR_6
266000 385.315 9.449 10.1973 9.99727 13.0957 8.95036 10.1157
267000 384.922 9.70422 10.143 10.0428 13.0535 9.00374 10.087
268000 380.604 9.5209 10.1624 9.91698 13.1413 9.06303 9.88708
269000 382.131 9.38312 10.2214 10.0714 13.3921 9.02987 9.90851
270000 381.466 9.29876 10.0836 10.0836 13.4002 9.02248 10.2282
271000 384.682 9.5505 10.1915 10.1172 13.2293 9.02826 10.1059
272000 379.079 9.31482 10.1737 10.0593 13.2919 9.07109 10.223
273000 377.585 9.38636 10.2237 10.0129 13.4139 9.05937 10.088
274000 376.909 9.51617 10.1478 10.0375 13.1331 9.04673 10.0319
275000 378.953 9.47301 10.1965 10.055 12.935 8.93714 10.0437
276000 372.022 9.46024 10.1494 10.1912 13.0783 8.94015 9.98349
277000 376.136 9.60465 10.134 10.0858 13.0601 8.93153 10.0133
278000 371.798 9.59332 10.2259 10.0894 13.2775 8.99042 10.0189
279000 368.969 9.38068 10.1489 10.1862 12.9484 8.96266 9.93464
280000 371.274 9.45796 10.0914 10.1219 13.1448 9.061 9.89841
281000 365.424 9.50548 10.2162 9.99735 13.1432 9.05137 10.1538
282000 371.078 9.60292 10.1711 10.0627 13.0034 9.02512 10.0692
283000 369.049 9.44691 10.2143 10.0302 12.9996 8.98917 9.99548
284000 373.215 9.43922 10.2025 10.1153 13.0144 9.09906 9.96529
285000 362.449 9.4914 10.2468 10.0668 13.128 9.11817 10.0281
286000 367.328 9.58596 10.4087 10.0039 13.097 9.11818 9.84613
287000 364.105 9.63613 10.3412 10.1732 12.8685 9.19314 10.0009
288000 366.969 9.6403 10.3832 10.081 13.0277 9.19918 10.1332
289000 362.801 9.77674 10.3866 10.0196 13.014 9.17994 9.93517
290000 359.913 9.60451 10.3478 9.95745 13.0779 9.21073 9.86758
291000 357.889 9.6086 10.2116 10.1081 12.9126 9.07422 9.91484
292000 354.439 9.45929 10.3462 10.0293 13.0292 9.19411 9.97504
293000 356.397 9.5263 10.3739 10.0834 12.9138 9.20938 9.9199
294000 355.907 9.49377 10.4088 10.0149 12.8541 9.19377 10.0826
295000 356.604 9.5779 10.2588 9.99293 12.7211 9.21131 9.89481
296000 357.75 9.51644 10.3284 10.1358 12.5702 9.20264 9.94531
297000 352.473 9.54719 10.3344 10.0662 12.9158 9.22219 10.0095
298000 354.851 9.57061 10.3639 9.99298 12.8987 9.18143 9.96818
299000 348.339 9.57842 10.3731 10.1901 12.7957 9.17331 10.0022
300000 347.972 9.51109 10.3507 10.022 12.902 9.19917 10.103
301000 347.344 9.34761 10.2633 10.0605 12.9153 9.24869 9.96789
302000 345.965 9.52133 10.2788 10.0232 12.8359 9.15348 9.98917
303000 346.394 9.56109 10.2639 10.1747 12.6847 9.11195 10.1455
304000 345.586 9.54006 10.2607 10.1194 12.8073 9.14616 9.9694
305000 346.714 9.53151 10.2696 10.1339 12.6843 9.18206 9.92065
306000 344.626 9.52677 10.3403 10.1539 12.6676 9.19 10.0068
307000 345.231 9.51887 10.1874 10.1088 12.6487 9.17105 10.0071
308000 342.849 9.53283 10.3981 10.143 12.8966 9.19494 9.92479
309000 344.703 9.45191 10.2104 10.1826 12.604 9.14376 9.96565
310000 340.573 9.56781 10.167 10.107 12.6009 9.2574 9.952
311000 336.503 9.69134 10.2698 10.1497 12.6755 9.21073 9.94783
312000 338.918 9.54895 10.4964 10.1045 12.6082 9.14536 9.96314
313000 339.654 9.61574 10.3925 10.2021 12.6907 9.28036 9.94115
314000 336.716 9.68355 10.2266 10.1685 12.6466 9.21509 9.96283
315000 336.176 9.56538 10.2173 10.1726 12.5614 9.23524 9.79363
316000 336.051 9.61222 10.3414 10.1362 12.5755 9.22052 9.7671
317000 333.992 9.62883 10.3206 10.0496 12.6589 9.16638 9.85813
318000 330.968 9.72761 10.4566 10.1959 12.7854 9.15872 9.7816
319000 332.53 9.57736 10.3995 10.1509 12.6487 9.11065 9.70677
320000 334.039 9.56725 10.2386 10.1304 12.4684 9.2692 9.91602
321000 329.953 9.66229 10.2124 10.1762 12.5356 9.18946 10.0737
322000 329.102 9.54083 10.2017 10.1393 12.4856 9.21753 9.95128
323000 323.901 9.50613 10.2569 10.0641 12.4484 9.26145 9.75159
324000 325.081 9.47276 10.2455 10.1307 12.5194 9.24073 9.85628
325000 325.073 9.51219 10.0267 10.0579 12.494 9.22696 9.82117
326000 324.04 9.46097 10.1178 10.0963 12.53 9.22229 9.9466
327000 317.454 9.52736 10.0361 10.0806 12.6055 9.30834 10.0824
